HCPCS_Cd,RBCS_ID,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Assignment_Eff_Dt
0001A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,12/11/2020,12/31/9999,01/01/2017
0002A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,12/11/2020,12/31/9999,01/01/2017
0003A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,08/12/2021,12/31/9999,01/01/2017
0004A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,09/22/2021,12/31/9999,01/01/2017
0011A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,12/18/2020,12/31/9999,01/01/2017
0012A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,12/18/2020,12/31/9999,01/01/2017
0013A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,08/12/2021,12/31/9999,01/01/2017
0021A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,01/01/2021,01/01/2021,01/01/2017
0022A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,01/01/2021,01/01/2021,01/01/2017
0031A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,02/27/2021,12/31/9999,01/01/2017
0034A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,10/20/2021,12/31/9999,01/01/2017
0041A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,07/13/2022,12/31/9999,01/01/2017
0042A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,07/13/2022,12/31/9999,01/01/2017
0051A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,01/03/2022,12/31/9999,01/01/2017
0052A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,01/03/2022,12/31/9999,01/01/2017
0053A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,01/03/2022,12/31/9999,01/01/2017
0054A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,01/03/2022,12/31/9999,01/01/2017
0064A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,10/20/2021,12/31/9999,01/01/2017
0071A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,10/29/2021,12/31/9999,01/01/2017
0072A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,10/29/2021,12/31/9999,01/01/2017
